lad_code,lad_name,first_year,last_year,n_years,jti_first,jti_last,jti_delta,trend_label,component_emissions_last,component_transport_last,component_deprivation_last,jti_last_percentile,component_emissions_percentile,component_transport_percentile,component_deprivation_percentile,jti_last_rank,component_emissions_rank,component_transport_rank,component_deprivation_rank,priority_group,cluster_id,cluster_label
E07000089,Hart,2005,2023,19,100.0,45.21958714892477,-54.78041285107523,Worsening,13.621162908171069,22.03759853860321,100.0,98.11320754716981,64.46540880503144,70.12578616352201,100.0,7,114,96,1,High Priority,0.0,Transition Leaders
E07000090,Havant,2005,2023,19,43.82285800856208,22.59116949274974,-21.23168851581234,Worsening,12.157824980002577,11.792825489684557,43.82285800856208,44.0251572327044,29.245283018867923,28.30188679245283,41.86851211072664,179,226,229,169,High Priority,3.0,High-Deprivation Barriers
E07000091,New Forest,2005,2023,19,68.39793591236986,36.14480526602747,-32.25313064634239,Worsening,14.051729937752054,25.9847499479605,68.39793591236986,81.44654088050315,77.04402515723271,79.87421383647799,76.12456747404845,60,74,65,70,High Priority,1.0,Emerging Improvers
E07000092,Rushmoor,2005,2023,19,59.53903475903918,27.500833957302934,-32.03820080173625,Worsening,11.029125689321173,11.934341423548446,59.53903475903918,58.17610062893082,14.465408805031446,29.559748427672954,63.667820069204154,134,273,225,106,High Priority,3.0,High-Deprivation Barriers
E07000093,Test Valley,2005,2023,19,74.26007398385921,40.50912281734014,-33.75095116651907,Worsening,14.489923934499576,32.77737053366163,74.26007398385921,89.30817610062893,86.16352201257862,88.9937106918239,85.81314878892734,35,45,36,42,High Priority,1.0,Emerging Improvers
E07000094,Winchester,2005,2023,19,82.22464665783144,43.113191745906136,-39.11145491192531,Worsening,13.175268943829327,33.93965963605763,82.22464665783144,96.85534591194968,50.62893081761006,90.25157232704403,92.38754325259517,11,158,32,23,High Priority,0.0,Transition Leaders
E07000095,Broxbourne,2005,2023,19,50.461139994060176,24.27900014458146,-26.182139849478716,Worsening,10.878866704374364,11.496993735309836,50.461139994060176,48.42767295597484,10.69182389937107,27.9874213836478,51.55709342560554,165,285,230,141,High Priority,3.0,High-Deprivation Barriers
E07000096,Dacorum,2005,2023,19,69.57232717759719,32.84528368518457,-36.72704349241262,Worsening,12.555137240702837,16.408386637253688,69.57232717759719,70.75471698113208,38.05031446540881,43.710691823899374,78.54671280276817,94,198,180,63,High Priority,0.0,Transition Leaders
E07000098,Hertsmere,2005,2023,19,64.78629310405185,36.03415669377412,-28.75213641027773,Worsening,11.885768363548141,31.430408613722374,64.78629310405185,81.13207547169812,22.955974842767297,88.0503144654088,72.31833910034602,61,246,39,81,High Priority,0.0,Transition Leaders
E07000099,North Hertfordshire,2005,2023,19,73.77302554407117,35.93505100203105,-37.83797454204012,Worsening,14.025066373432924,20.00706108858907,73.77302554407117,80.81761006289308,76.72955974842768,61.94968553459119,84.42906574394463,62,75,122,46,High Priority,1.0,Emerging Improvers
E07000102,Three Rivers,2005,2023,19,81.96970152383318,42.88683706059214,-39.08286446324104,Worsening,11.97588557307143,34.71492408487181,81.96970152383318,96.22641509433963,24.21383647798742,91.19496855345912,91.6955017301038,13,242,29,25,High Priority,0.0,Transition Leaders
E07000103,Watford,2005,2023,19,58.252969351439944,25.59140956881954,-32.6615597826204,Worsening,11.40778977199967,7.113469583018998,58.252969351439944,52.20125786163522,19.81132075471698,10.69182389937107,61.93771626297578,153,256,285,111,High Priority,3.0,High-Deprivation Barriers
E07000105,Ashford,2005,2023,19,48.31710362622725,27.72777459480741,-20.58932903141984,Worsening,13.820848549025438,21.045371609169536,48.31710362622725,59.43396226415094,70.12578616352201,65.40880503144653,48.78892733564014,130,96,111,149,High Priority,1.0,Emerging Improvers
E07000106,Canterbury,2005,2023,19,53.54384053424232,26.00237135917007,-27.54146917507225,Worsening,11.082170029965564,13.381103513302321,53.54384053424232,54.088050314465406,15.723270440251572,34.59119496855346,54.325259515570934,147,269,209,133,High Priority,3.0,High-Deprivation Barriers
E07000107,Dartford,2005,2023,19,47.95797349600187,30.39482627627562,-17.56314721972625,Worsening,12.806638728723275,30.41986660410171,47.95797349600187,64.77987421383648,43.710691823899374,86.47798742138365,47.75086505190311,113,180,44,152,High Priority,1.0,Emerging Improvers
E07000108,Dover,2005,2023,19,38.640946176288615,21.244953180218705,-17.39599299606991,Worsening,11.48034198627845,13.613571378089052,38.640946176288615,38.9937106918239,20.754716981132077,35.53459119496855,35.294117647058826,195,253,206,188,High Priority,3.0,High-Deprivation Barriers
E07000109,Gravesham,2005,2023,19,43.04245597482151,23.96486385704127,-19.077592117780238,Worsening,13.322701788643325,15.529433807658982,43.04245597482151,47.79874213836478,55.34591194968554,40.88050314465409,40.13840830449827,167,143,189,174,High Priority,4.0,Transition Laggards
